FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,HygieneScore,StructuralScore,ConfidenceInManagementScore,Latitude,Longitude
462966,12/00194/FOOD,Fox Fine Foods,Other catering premises,7841,"","","","","",5,fhrs_5_en-GB,2012-09-21,5,5,5,"",""
204375,05700/0000/2/000,Foxhill Community Centre,Other catering premises,7841,Hawthorn Grove,Combe Down,Bath,Bath And North East Somerset,BA2 5QA,Exempt,fhrs_exempt_en-GB,2012-03-30,"","","",51.35966400000000,51.35966400000000
530431,12/00275/MIXED,"Francis Hotel, MGallery Collection",Hotel/bed & breakfast/guest house,7842,Francis Hotel,6 - 11 Queen Square,City Centre,Bath,BA1 2HH,5,fhrs_5_en-GB,2013-03-28,5,5,5,51.38294300000000,51.38294300000000
520692,12/00288/MIXED,Frankie And Benny's,Other catering premises,7841,Unit 5 Frankie & Bennys,Kingsmead Leisure Complex,5 - 10 James Street West,City Centre,BA1 2BX,5,fhrs_5_en-GB,2013-01-24,0,0,0,51.38083400000000,51.38083400000000
204904,11/00281/MIXED,Free Rangers Nursery,School/college/university,7845,Manor Farm,Millards Hill,Welton,Midsomer Norton,BA3 2BW,5,fhrs_5_en-GB,2014-03-19,0,0,0,51.29319100000000,51.29319100000000
204352,15498/0059/0/000,Freeways,Hospitals/Childcare/Caring Premises,5,Hillsborough House,59 - 61 Charlton Road,Keynsham,"",BS31 2JQ,5,fhrs_5_en-GB,2014-03-24,0,0,5,51.41262000000000,51.41262000000000
205037,02950/2800/3/C23,Fresh,Retailers - other,4613,Fresh Grocery Store Level 2 Wessex,University Of Bath Campus,Claverton Down,Bath,BA2 7BT,5,fhrs_5_en-GB,2012-12-12,5,5,5,51.38045000000000,51.38045000000000
204324,09/00085/MIXED,Freshford Pre-School,School/college/university,7845,Freshford Memorial Hall,Freshford Lane,Freshford,Bath,BA2 7UR,Exempt,fhrs_exempt_en-GB,2012-03-26,"","","",51.33860000000000,51.33860000000000
205627,15689/9230/2/000,Freshford Primary School,School/college/university,7845,Freshford Ce Primary School,High Street,Freshford,Bath,BA2 7WE,5,fhrs_5_en-GB,2013-10-21,5,5,5,51.33938200000000,51.33938200000000
204703,15789/1000/2/000,Freshford Village Memorial Hall,Other catering premises,7841,Freshford Memorial Hall,Freshford Lane,Freshford,Bath,BA2 7UR,Exempt,fhrs_exempt_en-GB,2014-04-25,"","","",51.33860000000000,51.33860000000000
205249,03200/1300/3/C04,Friends Conservatory Coffee Shop,Restaurant/Cafe/Canteen,1,Central Wing,Royal United Hospital,Lower Weston,Bath,BA1 3NG,5,fhrs_5_en-GB,2013-02-21,0,5,0,51.39167400000000,51.39167400000000
204492,15612/9258/2/OOO,Fromeway Inn,Pub/bar/nightclub,7843,62 Frome Road,Radstock,"","",BA3 3LG,2,fhrs_2_en-GB,2013-11-12,15,5,10,51.29037000000000,51.29037000000000
205748,15618/1001/2/000,Fry Club And Conference Centre,Other catering premises,7841,Frys Social Club,Cross Street,Keynsham,Bristol,BS31 2AU,4,fhrs_4_en-GB,2012-06-22,5,0,10,51.42228500000000,51.42228500000000
205549,00010/0010/0/000,Fudge Kitchen,Manufacturers/packers,7839,Jim Garrahys,10 Abbey Churchyard,City Centre,Bath,BA1 1LY,4,fhrs_4_en-GB,2011-06-29,5,10,5,51.38152400000000,51.38152400000000
204622,11/00045/MIXED,Fulai,Takeaway/sandwich shop,7844,7 Cleveland Place East,Walcot,Bath,"",BA1 5DJ,5,fhrs_5_en-GB,2011-03-17,0,5,0,51.39003200000000,51.39003200000000
204624,06360/1100/2/000,Full Moon Public House,Pub/bar/nightclub,7843,The Full Moon,High Street,Twerton,Bath,BA2 1DQ,5,fhrs_5_en-GB,2008-05-09,5,0,5,51.38080100000000,51.38080100000000
204093,07/00008/FOOD,G Britton,Mobile caterer,7846,"","","","","",5,fhrs_5_en-GB,2011-03-04,5,5,5,"",""
205422,15468/0022/0/000,G Mitchard And Sons,Manufacturers/packers,7839,G Mitchard & Sons,22 - 24 Elm Terrace,Westfield,Radstock,BA3 3XS,5,fhrs_5_en-GB,2012-11-08,5,5,5,51.28499200000000,51.28499200000000
204694,09/00082/MIXED,Galleries Shop And Cafe,Restaurant/Cafe/Canteen,1,The Galleries Shop,Freshford Lane,Freshford,Bath,BA2 7UR,5,fhrs_5_en-GB,2014-03-06,5,0,0,51.33860000000000,51.33860000000000
581149,13/00065/MIXED,Game,Retailers - other,4613,15 St Lawrence Street,City Centre,Bath,"",BA1 1AN,5,fhrs_5_en-GB,2013-08-29,5,5,5,51.37941400000000,51.37941400000000
204284,09420/1000/3/C01,Garfunkels Restaurant,Restaurant/Cafe/Canteen,1,Garfunkels,Orange Grove,City Centre,Bath,BA1 1LP,5,fhrs_5_en-GB,2012-08-14,0,5,0,51.38141300000000,51.38141300000000
204429,11910/0007/0/000,Garricks Head Public House,Pub/bar/nightclub,7843,Garricks Head,8 St John's Place,Bath,"",BA1 1ET,4,fhrs_4_en-GB,2012-03-29,5,10,5,51.38205500000000,51.38205500000000
204689,06/00187/MIXED,Gascoyne Place,Restaurant/Cafe/Canteen,1,Sawclose,City Centre,Bath,Bath And North East Somerset,BA1 1EY,5,fhrs_5_en-GB,2014-01-23,5,5,5,51.38190400000000,51.38190400000000
204081,05/00075/FOOD,Genesis Lifeline Centre,Restaurant/Cafe/Canteen,1,Forum Buildings,St James's Parade,City Centre,Bath,BA1 1UG,5,fhrs_5_en-GB,2009-04-06,5,5,5,51.37864500000000,51.37864500000000
205610,15798/9117/2/000,George & Dragon,Pub/bar/nightclub,7843,High Street,Pensford,Bristol,Bath And North East Somerset,BS39 4BH,2,fhrs_2_en-GB,2013-03-18,5,15,10,51.37076700000000,51.37076700000000
205003,08870/0153/0/000,Gill Newsagents And Off Licence,Retailers - other,4613,J S Gills Newsagent,153 Newbridge Road,Newbridge,Bath,BA1 3HG,4,fhrs_4_en-GB,2013-08-07,"","","",51.38405200000000,51.38405200000000
205042,04/00051/FOOD,Gillards Of Bath Ltd,Retailers - other,4613,55 - 56 Guildhall Market,High Street,City Centre,Bath,BA2 4AW,5,fhrs_5_en-GB,2014-02-14,5,5,0,51.38241800000000,51.38241800000000
204039,11/00007/MIXED,Giraffe,Restaurant/Cafe/Canteen,1,8 Dorchester Street,Bath,"","",BA1 1SS,5,fhrs_5_en-GB,2013-08-30,0,0,0,51.37823800000000,51.37823800000000
205752,14940/3900/2/000,Globe Inn,Pub/bar/nightclub,7843,The Globe Inn,Pennyquick,Newton St. Loe,Bath,BA2 9BB,4,fhrs_4_en-GB,2013-01-08,0,10,5,51.38582600000000,51.38582600000000
204643,11/00288/MIXED,Go Bananas At Writhlington,Restaurant/Cafe/Canteen,1,Writhlington Sports Centre  Writhli,Knobsbury Lane,Writhlington,Radstock,BA3 3NQ,5,fhrs_5_en-GB,2012-01-04,0,0,5,51.28615900000000,51.28615900000000
205097,00550/0001/1/000,Golden Fleece Public House,Pub/bar/nightclub,7843,The Golden Fleece,Avon Buildings,Lower Bristol Road,Westmoreland,BA2 1ES,3,fhrs_3_en-GB,2012-07-30,10,10,5,51.38073200000000,51.38073200000000
655892,14/00102/MIXED,Golden Moments@507,Restaurant/Cafe/Canteen,1,507 Bath Road,Saltford,"","",BS31 3HQ,4,fhrs_4_en-GB,2014-01-29,10,5,5,51.40180600000000,51.40180600000000
204779,03060/0013/0/000,Golden Plaice,Takeaway/sandwich shop,7844,13 Cleveland Place West,Walcot,Bath,"",BA1 5DG,5,fhrs_5_en-GB,2012-06-20,5,5,5,51.38985000000000,51.38985000000000
205297,15728/0004/2/000,Goldenfields,Takeaway/sandwich shop,7844,Golden Fields Chinese Takeaway,4 High Street,Paulton,Bristol,BS39 7NW,4,fhrs_4_en-GB,2009-03-27,5,5,10,51.30768200000000,51.30768200000000
204903,11/00274/MIXED,Gong Fu Noodle Bar,Takeaway/sandwich shop,7844,16 Kingsmead Square,City Centre,Bath,"",BA1 2AE,4,fhrs_4_en-GB,2014-02-20,"","","",51.38151400000000,51.38151400000000
204652,10/00139/MIXED,Good News (Bath),Retailers - other,4613,Good News (bath),34 Gay Street,City Centre,Bath,BA1 2NT,4,fhrs_4_en-GB,2012-11-26,5,10,5,51.38434600000000,51.38434600000000
204604,12100/0002/A/000,Goodies Delicatessen,Retailers - other,4613,Goodies Delicatessen,2A St Saviour's Road,Larkhall,Bath,BA1 6RT,5,fhrs_5_en-GB,2013-02-07,5,5,5,51.39684500000000,51.39684500000000
491463,12/00289/MIXED,Gourmet Burger Kitchen,Other catering premises,7841,8 Brunel Square,Bath,"","",BA1 1SX,5,fhrs_5_en-GB,2012-12-14,5,5,0,51.37744200000000,51.37744200000000
205217,10/00010/MIXED,Gourmet Scoffs,Other catering premises,7841,9 Terrace Walk,City Centre,Bath,"",BA1 1LN,5,fhrs_5_en-GB,2014-03-03,5,5,5,51.38115200000000,51.38115200000000
205527,15674/0042/0/000,Grange Hotel,Hotel/bed & breakfast/guest house,7842,The Grange Hotel,42 Bath Road,Keynsham,"",BS31 1SN,3,fhrs_3_en-GB,2011-02-21,10,10,10,51.41218300000000,51.41218300000000
204389,11/00172/MIXED,Grapes Hotel,Pub/bar/nightclub,7843,The Grapes,14 Westgate Street,City Centre,Bath,BA1 1EQ,5,fhrs_5_en-GB,2013-10-23,0,5,0,51.38134800000000,51.38134800000000
204494,15674/0022/0/000,Grasmere Court Hotel,Hotel/bed & breakfast/guest house,7842,22 - 24 Bath Road,Keynsham,"","",BS31 1SN,5,fhrs_5_en-GB,2012-11-21,5,5,5,51.41218300000000,51.41218300000000
520704,12/00354/MIXED,"Graze Bar, Brewery And Chophouse",Restaurant/Cafe/Canteen,1,9 Brunel Square,Bath,"","",BA1 1SX,5,fhrs_5_en-GB,2013-02-04,"","","",51.37744200000000,51.37744200000000
